horizon,horizon_months,model,trials_completed,test_rmse_mean,test_rmse_median,test_rmse_std,test_mae_mean,test_mae_median,test_mae_std,test_mape_mean,test_mape_median,test_mape_std
2020,12,lstm,50,1630.2342,1487.4965,918.5659,1418.6901,1272.3142,944.6058,17.2198,15.3463,12.0986
2020-2021,24,lstm,50,2003.7784,1852.6616,962.1046,1835.9646,1682.9612,979.7327,20.8568,19.0411,11.6355
2020-2022,36,lstm,50,1986.1195,1825.9712,1006.8988,1864.2572,1704.7472,1019.354,20.8475,19.0108,11.7423
2020-2023,48,lstm,50,1880.2316,1708.903,1035.3514,1733.581,1551.5045,1052.4405,19.2831,17.1832,12.0413
2020,12,seq2seq,50,1750.5908,1716.1175,152.6483,1549.7979,1514.1795,161.9475,18.8262,18.3738,2.0476
2020-2021,24,seq2seq,50,2383.6347,2340.2155,234.3925,2193.9228,2150.5972,230.7859,24.8826,24.3755,2.6732
2020-2022,36,seq2seq,50,2588.4195,2541.5801,280.1558,2442.3303,2395.8795,273.7302,27.2231,26.6936,3.0872
2020-2023,48,seq2seq,50,2634.8602,2586.7109,304.6889,2502.3599,2454.769,302.1056,27.8238,27.2832,3.407
2020,12,seq2seq_attn,50,1745.8702,1781.2979,165.5752,1547.0561,1586.8671,178.7474,18.8002,19.3025,2.2623
2020-2021,24,seq2seq_attn,50,2369.7481,2437.9079,262.9794,2182.0654,2248.915,260.0935,24.7541,25.5222,3.0108
2020-2022,36,seq2seq_attn,50,2568.7354,2657.9832,320.7252,2424.325,2511.25,314.3691,27.0275,28.0013,3.5419
2020-2023,48,seq2seq_attn,50,2612.1429,2712.2601,351.9889,2480.0856,2580.416,351.8092,27.5783,28.705,3.9647
2020,12,tcn,50,2788.0771,2789.8524,892.6478,2579.3907,2586.1037,899.7752,31.9074,31.9285,11.3173
2020-2021,24,tcn,50,4137.9908,4319.3766,1285.3205,3831.577,3989.8815,1255.7388,43.8089,45.503,14.4992
2020-2022,36,tcn,50,4995.7255,5454.2605,1549.6253,4649.3083,5079.5995,1450.2496,51.9798,56.5513,16.314
2020-2023,48,tcn,50,5680.2188,6014.7913,2173.4977,5271.0169,5688.4342,1784.5956,59.0134,63.6098,20.11
2020,12,transformer,50,2034.6517,2045.0905,118.0656,1862.4952,1872.0401,126.4504,22.825,22.9393,1.612
2020-2021,24,transformer,50,2687.1658,2708.8399,134.1439,2517.0813,2537.364,138.8088,28.7184,28.9409,1.6372
2020-2022,36,transformer,50,2897.4766,2920.5308,141.4839,2765.9008,2789.0379,144.38,30.9581,31.2141,1.6555
2020-2023,48,transformer,50,2943.7783,2963.999,144.4021,2825.0426,2847.5544,147.4413,31.5266,31.7874,1.6825
2020,12,sarima,50,1794.1184,1794.1184,0.0,1637.5946,1637.5946,0.0,20.0798,20.0798,0.0
2020-2021,24,sarima,50,2395.1081,2395.1081,0.0,2238.8305,2238.8305,0.0,25.5548,25.5548,0.0
2020-2022,36,sarima,50,2571.9971,2571.9971,0.0,2454.8127,2454.8127,0.0,27.4984,27.4984,0.0
2020-2023,48,sarima,50,2607.1946,2607.1946,0.0,2497.6303,2497.6303,0.0,27.8788,27.8788,0.0
